Tract,Neighborhood,City ,State,Percent Abandoned Houses
24510250101,Beechfield,Baltimore,MD,1.025498891
24003750201,Brooklyn,Baltimore,MD,7.826086957
24510250401,Brooklyn,Baltimore,MD,7.826086957
24510250402,Brooklyn,Baltimore,MD,7.826086957
24510250600,Brooklyn,Baltimore,MD,7.826086957
24510010400,Canton,Baltimore,MD,0.470529965
24510261100,Canton,Baltimore,MD,0.470529965
24510010100,Canton,Baltimore,MD,0.470529965
24510010300,Canton,Baltimore,MD,0.470529965
24510272004,Cheswolde,Baltimore,MD,0.102704553
24510250500,Curtis Bay,Baltimore,MD,7.826086957
24510040100,Downtown,Baltimore,MD,11.19081779
24510170100,Downtown,Baltimore,MD,11.19081779
24510110100,Downtown,Baltimore,MD,11.19081779
24510110200,Downtown,Baltimore,MD,11.19081779
24510040200,Downtown,Baltimore,MD,11.19081779
24510020300,Fells Point,Baltimore,MD,1.03117506
24510260102,Frankford,Baltimore,MD,1.207883026
24510260201,Frankford,Baltimore,MD,1.207883026
24510130700,Hampden,Baltimore,MD,0.815494393
24510130600,Hampden,Baltimore,MD,0.815494393
24510130804,Hampden,Baltimore,MD,0.815494393
24510180300,Hollins Market,Baltimore,MD,13.5431918
24510271200,Homeland,Baltimore,MD,0.47012733
24510200800,Irvington,Baltimore,MD,5.994023554
24510250205,Lakeland,Baltimore,MD,6.99626866
24510270200,Lauraville,Baltimore,MD,1.476510067
24510270301,Lauraville,Baltimore,MD,1.476510067
24510030200,Little Italy,Baltimore,MD,1.793981481
24510270803,Loch Raven,Baltimore,MD,0.591715976
24510130803,Medfield,Baltimore,MD,0.815494393
24510250206,Morrell Park,Baltimore,MD,2.062182741
24510250303,Morrell Park,Baltimore,MD,2.062182741
24510271501,Mount Washington,Baltimore,MD,0.217273221
24510210200,Pigtown,Baltimore,MD,6.175514626
24510210100,Pigtown,Baltimore,MD,6.175514626
24510120700,Remington,Baltimore,MD,0.815494393
24510230200,South Baltimore,Baltimore,MD,0.232355504
24510230300,South Baltimore,Baltimore,MD,0.232355504
24510250103,Violetville,Baltimore,MD,2.062182741
24510130806,Woodberry,Baltimore,MD,0.81549439
