Tract ,Neighborhood,City,State,Population Growth
24510250101,Beechfield,Baltimore,MD,-0.013304949
24003750201,Brooklyn,Baltimore,MD,0.094972067
24510250401,Brooklyn,Baltimore,MD,0.094972067
24510250402,Brooklyn,Baltimore,MD,0.094972067
24510250600,Brooklyn,Baltimore,MD,0.094972067
24510010400,Canton,Baltimore,MD,0.121103448
24510261100,Canton,Baltimore,MD,0.121103448
24510010100,Canton,Baltimore,MD,0.121103448
24510010300,Canton,Baltimore,MD,0.121103448
24510272004,Cheswolde,Baltimore,MD,0.131685956
24510250500,Curtis Bay,Baltimore,MD,0.020341537
24510040100,Downtown,Baltimore,MD,1.396551724
24510170100,Downtown,Baltimore,MD,1.396551724
24510110100,Downtown,Baltimore,MD,1.396551724
24510110200,Downtown,Baltimore,MD,1.396551724
24510040200,Downtown,Baltimore,MD,1.396551724
24510020300,Fells Point,Baltimore,MD,0.255843335
24510260102,Frankford,Baltimore,MD,0.053716055
24510260201,Frankford,Baltimore,MD,0.053716055
24510130700,Hampden,Baltimore,MD,-0.066872152
24510130600,Hampden,Baltimore,MD,-0.066872152
24510130804,Hampden,Baltimore,MD,-0.066872152
24510180300,Hollins Market,Baltimore,MD,-0.103414634
24510271200,Homeland,Baltimore,MD,0.036593264
24510200800,Irvington,Baltimore,MD,-0.026009727
24510250205,Lakeland,Baltimore,MD,0.063317757
24510270200,Lauraville,Baltimore,MD,-0.0512
24510270301,Lauraville,Baltimore,MD,-0.0512
24510030200,Little Italy,Baltimore,MD,0.04159132
24510270803,Loch Raven,Baltimore,MD,0.022056385
24510130803,Medfield,Baltimore,MD,-0.004366812
24510250206,Morrell Park,Baltimore,MD,0.011795859
24510250303,Morrell Park,Baltimore,MD,0.011795859
24510271501,Mount Washington,Baltimore,MD,0.008247423
24510210200,Pigtown,Baltimore,MD,-0.054343808
24510210100,Pigtown,Baltimore,MD,-0.054343808
24510120700,Remington,Baltimore,MD,0.068231204
24510230200,South Baltimore,Baltimore,MD,0.038834952
24510230300,South Baltimore,Baltimore,MD,0.038834952
24510250103,Violetville,Baltimore,MD,-0.063877475
24510130806,Woodberry,Baltimore,MD,0.265526553
